20250124	12:03:00	970580f1-0e90-4b24-b2a9-02beab941bbb	/	GET
20250124	12:03:00	e2604164-83e3-4413-bc6c-1e1bab1d6aff	/css/style.css	GET
20250124	12:03:37	02cd7beb-ef73-4bcf-9166-de7817bb851e	/new-page	GET
20250124	12:03:37	86d13b94-6318-4d91-9b6b-ee458a156a99	/css/style.css	GET
20250124	12:03:37	d0de13b4-be88-48fc-ad91-04e82def60bb	/img/img1.jpg	GET
20250124	12:05:31	fa638127-4060-4dc2-bbd1-aa0d0f927556	/new-page	GET
20250124	12:06:06	355f76b0-cc42-4c39-a022-29db0633c3e8	/new-page	GET
20250124	12:06:06	2bd26c01-a84b-4e9f-be12-817c726817af	/css/style.css	GET
20250124	12:06:06	80561176-6aaf-4950-970d-04609900497c	/img/img1.jpg	GET
20250125	05:35:33	fb40462e-1588-4ba1-8723-7da11a342d03	GET	undefined	/new-page.html
20250125	05:35:33	0941561e-abaf-40d6-948a-f6bed80fae77	GET	undefined	/css/style.css
20250125	05:35:33	82d2cb7e-5e6b-4779-bb09-54586c3d91b0	GET	undefined	/img/img1.jpg
20250125	05:41:07	613c86bf-8a1a-484c-a650-bdd0a1c547c9	GET	undefined	/index
20250125	05:41:07	1a1251fd-50e4-460b-b37e-1ef7c667f8c3	GET	undefined	/css/style.css
20250125	05:51:55	c71681bd-1038-44b8-882e-414af702c164	GET	chrome-extension://laookkfknpbbblfpciffpaejjkokdgca	/
20250125	05:55:06	f2dfbb87-cf71-445d-b7c2-98945c63e87d	OPTIONS	https://www.google.com	/
20250125	05:55:06	68ec0c9c-6eed-48d5-94c8-416067f12358	GET	https://www.google.com	/
20250125	06:04:11	47ce5928-a90b-4ad4-9b47-51ae8806b3a7	OPTIONS	https://www.google.com	/
20250125	06:04:11	d9c8218f-dba6-4938-9df6-425f094d5afe	GET	https://www.google.com	/
20250125	06:04:45	1c474a06-e64e-400c-9e80-516f4711ce58	OPTIONS	https://www.google.com	/
20250125	06:04:45	2f8bad37-8ffc-4e26-b2c7-246a5f9ae65b	GET	https://www.google.com	/
20250126	02:21:26	ed67c944-ee0c-4eb7-a804-5f2a6f58bba0	GET	undefined	/
20250126	02:22:40	7565bc86-082c-45ba-9737-ce79f1ddd260	GET	undefined	/
20250126	02:22:41	cd89ecfc-822d-47c7-9ecf-35f3c3848d1e	GET	undefined	/css/style.css
20250126	02:32:19	5950bcf1-33a5-492f-a6b0-790534e6de0d	GET	undefined	/
20250126	02:32:37	6c008dcc-073e-40ae-94f6-8c235f60f8b7	GET	undefined	/
20250126	02:32:37	fe3ffa8a-e547-4761-8195-477fb7b6e30c	GET	undefined	/css/style.css
20250126	02:35:07	3df41c5b-20ff-43be-ac0c-f4a8b6289f89	GET	undefined	/seth
20250126	02:35:07	e4e8777a-9373-4768-89bd-90329d5ab977	GET	undefined	/css/style.css
20250126	02:40:09	df0bb086-eb34-4d62-9a83-913a1c7ddedc	GET	undefined	/seth
20250126	02:40:09	1d4d1710-4d5c-463b-b483-75d9e3e645ad	GET	undefined	/css/style.css
20250126	02:55:41	84f5fc3d-bf07-40fb-b7df-b6859e1ddba5	GET	undefined	/subdir
20250126	02:56:03	887cca3b-d5b1-4fda-876b-9de1b32fdb8b	GET	undefined	/subdir/test
20250126	02:56:19	0fe4dc86-b4af-4293-b39a-4dd65a630be2	GET	undefined	/subdir/tester
20250126	02:56:19	80afbd76-df97-47d7-b296-444ba3feba05	GET	undefined	/subdir/css/style.css
20250126	02:57:49	a4d3a00d-a8de-495f-b5a5-a3b4c29d8d1c	GET	undefined	/subdir/tester
20250126	02:57:49	9f6938c0-2a03-4aa2-a31e-a384eb3d8351	GET	undefined	/subdir/css/style.css
20250126	03:06:48	094fcd2c-4fde-4ce8-9740-ce05dbf90bd7	GET	undefined	/
20250126	03:06:48	5dcaee64-a009-44a6-91e0-ff8bee97b3ff	GET	undefined	/css/style.css
20250126	03:07:02	09c4e867-9377-4527-8f61-b69a6bc17da1	GET	undefined	/new-page
20250126	03:07:02	74308185-9c02-4a59-8c3b-5bf765860a2e	GET	undefined	/css/style.css
